Time (s),Noise1,Noise2
0.0,-3.789086625170725e-05,0.22706763329322915
5e-05,-9.970536690367648e-05,-0.1544180530290891
0.0001,-0.00016711583430292982,0.13398881834720128
0.00015000000000000001,-0.0001983480851864681,-0.3802816657349341
0.0002,-0.00013833142023020957,-0.005798432079268102
0.00025,-6.074654949443796e-05,0.2908143164395568
0.00030000000000000003,-1.9081311544784077e-06,0.2964692187835686
0.00035,5.84027219458601e-05,0.09857326406387186
0.0004,0.00020952063065692362,-0.4222135753826003
0.00045000000000000004,0.000508870483548657,-0.3920415574211406
0.0005,0.0009023744851243896,-0.2495184201736068
0.00055,0.0013465089797200262,-0.3077962791633128
0.0006000000000000001,0.0017553847828518595,0.12052482370596466
0.0006500000000000001,0.002052868324152973,-0.20319730821197668
0.0007,0.0021658270948805096,0.02130871292176219
0.00075,0.00195678724069838,-0.16325577368726
0.0008,0.0011960771702269938,0.35333536458951736
0.0008500000000000001,-0.000373047075942649,0.10717589730424118
0.0009000000000000001,-0.002906389792272775,0.44990183158502545
0.00095,-0.00631188636927404,-0.3178024034619047
0.001,-0.010192641016424921,-0.1287580994361103
0.0010500000000000002,-0.013891668526399668,-0.12071322664372006
0.0011,-0.0163629379742131,0.17524060461076327
0.00115,-0.01628529122419782,0.003922539247527631
0.0012000000000000001,-0.012240161468834568,-0.13175553014247363
0.00125,-0.003062653799403667,0.086305287129181
0.0013000000000000002,0.011713807604701228,0.11331983013545842
0.00135,0.031497963165652364,-0.14402663959711398
0.0014,0.05441023043227098,0.01772527386038451
0.0014500000000000001,0.07747988039189452,0.22415100230399307
0.0015,0.09674143837856006,0.6172281328534035
0.0015500000000000002,0.10745599762850845,-0.032813193644791974
0.0016,0.1039270929517222,0.04704220944136589
0.00165,0.08099959899818963,0.2448773556851654
0.0017000000000000001,0.03788397396190941,-0.16360757028404854
0.00175,-0.020879081460077265,-0.23240457744570384
0.0018000000000000002,-0.0885473861416465,-0.3070736258746725
0.00185,-0.16226603017239835,-0.07844211476598566
0.0019,-0.24087455219598297,-0.12913715847044321
0.0019500000000000001,-0.31745690815545624,-0.10494444901366073
0.002,-0.3783934927841169,0.27170263939074424
0.00205,-0.41066732809924805,0.21486417625868184
0.0021000000000000003,-0.4098728468194515,0.17604386794713972
0.00215,-0.3796019037843606,0.2266572066111941
0.0022,-0.3270765411116001,-0.13831780996388748
